Date,Time,CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),Temperature,RH
05/01/2025,21.00.00,2.8,1192,12.2,939,218,1684,118,-200.0,72.5
05/01/2025,22.00.00,3.9,1390,13.5,972,285,1517,113,-200.0,28.1
05/01/2025,23.00.00,4.1,1412,15.0,1056,371,1454,180,21.2,30.4
06/01/2025,00.00.00,3.7,1344,14.5,1001,284,1554,136,29.2,41.5
06/01/2025,01.00.00,4.6,1467,15.9,1038,317,1559,135,31.9,37.4
06/01/2025,02.00.00,3.1,1229,14.8,-200,154,1638,56,14.5,56.9
06/01/2025,03.00.00,2.8,1246,9.8,-200,257,1532,124,8.3,74.2
06/01/2025,04.00.00,2.7,1200,12.5,925,251,1550,123,11.8,77.7
06/01/2025,05.00.00,3.6,1358,-200.0,929,305,1539,136,17.8,59.2
06/01/2025,06.00.00,4.4,1433,19.2,1193,344,1484,167,29.5,70.3
06/01/2025,07.00.00,4.6,-200,15.0,1055,349,-200,180,30.8,51.5
06/01/2025,08.00.00,2.1,1103,11.1,895,204,1716,98,5.2,32.5
06/01/2025,09.00.00,3.4,1312,16.0,1048,270,1631,121,20.3,51.5
06/01/2025,10.00.00,2.4,1184,8.5,787,249,-200,137,17.5,53.3
06/01/2025,11.00.00,2.3,1129,7.5,-200,178,1673,89,11.7,64.5
06/01/2025,12.00.00,2.5,1195,10.8,887,192,1699,103,8.6,33.2
06/01/2025,13.00.00,2.9,1244,8.5,784,250,1606,114,15.1,42.1
06/01/2025,14.00.00,4.8,1509,19.1,1197,450,1407,211,33.3,41.8
06/01/2025,15.00.00,2.8,1193,9.6,809,283,1658,121,14.7,77.6
06/01/2025,16.00.00,3.1,1291,12.0,908,248,1625,120,20.6,46.6
06/01/2025,17.00.00,3.9,1352,14.2,994,290,1626,139,26.1,65.3
06/01/2025,18.00.00,2.9,1240,10.2,865,175,1733,88,15.9,65.0
06/01/2025,19.00.00,4.9,1536,23.1,1344,428,1387,185,34.2,35.9
06/01/2025,20.00.00,5.1,-200,21.9,1239,318,1511,165,33.9,54.3
06/01/2025,21.00.00,2.7,1188,7.7,763,298,-200,147,12.6,73.7
06/01/2025,22.00.00,3.0,1222,10.2,827,280,1596,123,19.9,48.5
06/01/2025,23.00.00,2.2,1082,10.5,884,139,1725,-200,14.0,76.7
07/01/2025,00.00.00,4.2,1465,18.6,1136,394,1482,192,13.5,32.9
07/01/2025,01.00.00,1.5,1017,3.4,617,151,1731,71,6.1,24.4
07/01/2025,02.00.00,3.6,1332,15.7,1045,309,1577,144,23.3,73.5
07/01/2025,03.00.00,3.8,1361,15.6,1048,288,1594,136,20.1,70.9
07/01/2025,04.00.00,2.3,1183,5.5,688,214,1617,109,6.5,79.6
07/01/2025,05.00.00,3.1,1322,11.6,886,177,-200,74,13.4,60.8
07/01/2025,06.00.00,4.5,1480,17.7,-200,363,1522,162,32.2,76.2
07/01/2025,07.00.00,2.8,1221,11.4,885,-200,1684,97,12.2,69.6
07/01/2025,08.00.00,2.5,1136,7.2,769,183,1601,93,9.3,70.7
07/01/2025,09.00.00,3.3,1254,11.7,911,231,-200,119,19.7,54.1
07/01/2025,10.00.00,5.1,1509,19.1,1147,374,1435,171,34.6,42.9
07/01/2025,11.00.00,3.3,-200,11.9,966,325,1506,154,12.3,76.1
07/01/2025,12.00.00,4.0,1338,15.0,1058,249,1625,114,25.2,45.9
07/01/2025,13.00.00,4.3,1474,16.8,1138,363,1476,182,27.8,52.3
07/01/2025,14.00.00,3.2,-200,13.6,969,203,1639,98,12.1,46.8
07/01/2025,15.00.00,4.7,1492,22.2,1261,439,1412,199,26.8,53.9
07/01/2025,16.00.00,3.9,1418,17.3,-200,333,1558,154,16.0,48.2
07/01/2025,17.00.00,3.0,1221,14.7,1037,171,1665,93,24.0,22.9
07/01/2025,18.00.00,4.4,1428,16.5,-200,365,1507,178,-200.0,72.9
07/01/2025,19.00.00,3.9,1328,13.6,935,278,1622,123,21.1,-200.0
07/01/2025,20.00.00,1.8,1097,8.9,792,158,1691,91,7.7,55.3
07/01/2025,21.00.00,4.6,1470,18.5,1156,-200,1576,149,30.1,28.4
07/01/2025,22.00.00,3.5,1324,15.4,-200,341,1572,158,14.6,20.2
07/01/2025,23.00.00,2.1,1152,6.8,711,72,1791,-200,10.6,34.7
08/01/2025,00.00.00,2.3,1193,10.7,868,147,1644,67,6.2,62.3
08/01/2025,01.00.00,4.2,1430,16.5,1012,283,1603,-200,22.7,26.0
08/01/2025,02.00.00,3.5,1336,13.1,945,299,1578,120,25.3,74.5
08/01/2025,03.00.00,2.0,1070,7.2,743,134,1746,70,5.5,32.9
08/01/2025,04.00.00,3.7,1404,15.7,1057,286,1520,134,20.4,32.3
08/01/2025,05.00.00,2.3,1137,10.7,885,150,1652,66,11.8,30.9
08/01/2025,06.00.00,3.5,1327,13.3,971,211,1623,107,24.4,20.8
08/01/2025,07.00.00,2.5,1156,10.5,886,185,1708,-200,10.2,66.3
08/01/2025,08.00.00,4.5,1507,18.6,1147,293,1554,-200,25.7,72.5
08/01/2025,09.00.00,3.5,1328,15.4,1010,187,1649,95,16.6,56.8
08/01/2025,10.00.00,4.4,1480,19.5,1183,382,1467,167,-200.0,31.3
08/01/2025,11.00.00,2.7,1221,14.6,993,-200,1706,87,9.1,37.1
08/01/2025,12.00.00,2.6,1184,9.5,805,281,1602,122,15.2,48.6
08/01/2025,13.00.00,1.5,1058,9.1,829,194,1623,73,8.4,77.3
08/01/2025,14.00.00,4.6,1499,18.6,1123,412,1429,200,32.7,34.8
08/01/2025,15.00.00,5.2,1550,18.6,1164,359,1544,173,31.3,63.9
08/01/2025,16.00.00,3.1,1236,11.1,863,354,1537,151,12.7,46.4
08/01/2025,17.00.00,4.0,1401,16.8,-200,201,1613,86,24.8,37.9
08/01/2025,18.00.00,4.2,1464,18.4,1133,295,1592,139,29.5,47.4
08/01/2025,19.00.00,3.5,1370,11.9,938,319,1570,148,21.7,24.3
08/01/2025,20.00.00,3.6,1293,13.0,968,329,1586,160,20.9,67.9
08/01/2025,21.00.00,2.2,1129,7.7,753,139,1723,72,12.3,34.6
08/01/2025,22.00.00,2.1,1130,6.7,731,129,1683,83,7.8,-200.0
08/01/2025,23.00.00,4.6,1496,14.6,1037,356,1485,160,31.9,24.1
09/01/2025,00.00.00,4.0,1434,11.7,938,318,1626,159,32.0,77.3
09/01/2025,01.00.00,3.5,1342,13.2,933,255,1575,120,24.0,-200.0
09/01/2025,02.00.00,3.2,1254,13.4,995,341,1454,148,15.2,73.0
09/01/2025,03.00.00,3.1,1227,13.5,998,210,1584,100,15.5,68.6
09/01/2025,04.00.00,4.0,-200,13.4,971,395,1403,185,26.8,78.1
09/01/2025,05.00.00,4.2,1465,14.3,997,359,1562,167,31.9,48.7
09/01/2025,06.00.00,5.4,1622,-200.0,1215,487,1483,215,31.6,63.6
09/01/2025,07.00.00,3.9,1341,15.7,1024,239,1619,105,28.4,42.2
09/01/2025,08.00.00,4.1,1376,18.2,1145,376,1435,170,24.3,31.1
09/01/2025,09.00.00,2.0,1122,-200.0,828,-200,1680,98,7.5,46.6
09/01/2025,10.00.00,2.5,1165,9.3,833,167,1685,80,9.8,29.9
09/01/2025,11.00.00,4.9,1542,20.4,1224,436,1500,204,32.0,78.9
09/01/2025,12.00.00,3.1,1302,10.8,930,177,1682,83,23.2,25.8
09/01/2025,13.00.00,2.0,1068,8.2,813,138,1634,67,5.3,55.4
09/01/2025,14.00.00,2.9,1223,11.5,913,290,1594,-200,8.0,-200.0
09/01/2025,15.00.00,4.9,1515,22.3,1238,381,1433,163,-200.0,52.3
09/01/2025,16.00.00,2.0,1103,8.8,815,143,1655,72,5.2,59.7
09/01/2025,17.00.00,2.5,1199,8.5,828,270,1625,147,-200.0,27.0
09/01/2025,18.00.00,4.8,1468,17.5,-200,282,1613,131,21.5,53.3
09/01/2025,19.00.00,4.6,1496,17.9,1171,363,1472,172,25.8,37.2
09/01/2025,20.00.00,3.6,1373,11.5,912,288,1524,161,24.6,76.4
09/01/2025,21.00.00,2.4,1099,9.0,821,149,1682,82,11.7,65.7
09/01/2025,22.00.00,4.6,1490,18.2,1116,438,1530,200,26.4,78.4
09/01/2025,23.00.00,2.2,1094,9.8,872,131,-200,76,-200.0,22.3
10/01/2025,00.00.00,3.5,1309,15.3,1019,237,1705,111,14.8,37.1
10/01/2025,01.00.00,4.4,1386,17.8,1113,229,1610,113,-200.0,31.7
10/01/2025,02.00.00,4.2,1473,13.6,937,392,1522,175,24.5,20.7
10/01/2025,03.00.00,4.4,1452,15.2,1051,-200,1518,146,30.5,-200.0
10/01/2025,04.00.00,3.7,1324,13.4,982,276,1547,139,24.7,60.7
10/01/2025,05.00.00,4.4,1475,19.0,1167,344,1487,-200,22.0,33.9
10/01/2025,06.00.00,2.2,1092,9.9,860,232,1628,113,7.8,-200.0
10/01/2025,07.00.00,2.9,1201,11.1,901,312,1602,142,16.0,73.3
10/01/2025,08.00.00,2.8,1259,15.7,1044,134,1680,63,13.0,61.6
10/01/2025,09.00.00,2.8,1279,14.4,990,203,1694,107,-200.0,43.7
10/01/2025,10.00.00,4.4,1443,20.1,1169,296,1637,128,34.2,42.3
10/01/2025,11.00.00,2.9,1267,13.0,951,221,1658,104,16.8,47.3
10/01/2025,12.00.00,4.4,1466,18.4,1117,345,1537,165,31.8,30.6
10/01/2025,13.00.00,4.3,1405,18.0,1134,259,1566,104,-200.0,58.0
10/01/2025,14.00.00,3.9,1363,12.2,922,334,1585,164,28.8,41.8
10/01/2025,15.00.00,2.6,1241,8.4,787,188,1604,95,20.1,71.1
10/01/2025,16.00.00,2.7,1169,10.5,890,-200,1617,120,22.3,65.4
10/01/2025,17.00.00,2.7,1280,11.2,873,221,1572,95,19.8,56.6
10/01/2025,18.00.00,3.3,1273,12.8,912,176,1617,91,10.9,41.9
10/01/2025,19.00.00,4.2,1474,17.2,1099,365,1506,-200,26.7,32.6
10/01/2025,20.00.00,3.1,1255,8.2,771,180,1684,98,13.4,66.6
10/01/2025,21.00.00,2.3,1175,10.4,866,126,1740,66,5.7,49.2
10/01/2025,22.00.00,4.0,-200,16.0,-200,301,1559,131,24.4,33.5
10/01/2025,23.00.00,2.5,1216,9.6,844,185,1635,97,10.3,31.7
11/01/2025,00.00.00,5.3,1584,23.2,1294,340,-200,150,33.2,29.9
11/01/2025,01.00.00,4.9,1514,17.6,1098,387,1518,180,33.6,66.6
11/01/2025,02.00.00,5.4,1614,21.3,1258,431,1482,182,32.4,33.7
11/01/2025,03.00.00,3.4,1274,14.3,998,267,1593,135,16.1,51.6
11/01/2025,04.00.00,1.7,1068,5.2,660,55,-200,57,5.5,47.1
11/01/2025,05.00.00,4.5,1456,-200.0,976,370,1568,166,-200.0,54.8
11/01/2025,06.00.00,2.9,1271,9.4,821,-200,1629,139,17.8,72.6
11/01/2025,07.00.00,5.5,1609,21.9,1244,373,1445,177,34.0,72.1
11/01/2025,08.00.00,4.7,1451,18.3,1133,321,1578,152,33.9,47.1
11/01/2025,09.00.00,4.2,-200,16.6,1076,372,1558,169,30.6,20.9
11/01/2025,10.00.00,3.0,1262,10.9,862,-200,1509,144,13.8,45.6
11/01/2025,11.00.00,3.1,1267,9.8,856,240,1646,128,16.6,56.4
11/01/2025,12.00.00,4.7,1538,19.1,1147,354,1637,171,30.5,53.5
11/01/2025,13.00.00,3.9,1410,15.2,1059,322,1562,138,14.5,59.1
11/01/2025,14.00.00,3.0,1222,13.1,-200,305,1547,143,10.1,29.2
11/01/2025,15.00.00,3.7,1339,13.2,950,252,1594,113,21.7,58.8
11/01/2025,16.00.00,4.1,1382,12.4,944,304,1562,146,33.1,31.0
11/01/2025,17.00.00,3.8,1332,10.1,856,282,1512,140,25.9,65.0
11/01/2025,18.00.00,4.1,1427,15.5,1056,254,1532,106,22.1,40.3
11/01/2025,19.00.00,1.7,1068,7.1,708,179,1668,91,7.9,62.6
11/01/2025,20.00.00,4.9,1560,19.2,1182,406,1473,187,23.5,-200.0
11/01/2025,21.00.00,5.0,1585,18.8,1147,297,1589,140,34.7,44.5
11/01/2025,22.00.00,2.4,1190,6.6,732,195,1633,116,9.2,62.3
11/01/2025,23.00.00,-200.0,1309,9.1,817,341,1531,141,20.5,33.6
12/01/2025,00.00.00,-200.0,1470,20.3,1236,404,1515,195,31.3,67.7
12/01/2025,01.00.00,3.6,1337,14.1,957,372,1412,160,27.2,57.8
12/01/2025,02.00.00,5.2,1605,20.0,1231,386,1455,153,25.9,55.3
12/01/2025,03.00.00,4.8,1480,16.0,1073,430,1435,195,26.1,41.2
12/01/2025,04.00.00,3.6,1338,12.3,935,351,1513,159,15.8,48.9
12/01/2025,05.00.00,2.2,1143,8.8,780,171,1606,-200,13.8,55.8
12/01/2025,06.00.00,-200.0,1493,18.7,1121,342,1490,162,29.3,48.3
12/01/2025,07.00.00,5.0,1566,19.8,1182,458,1462,209,29.3,61.9
12/01/2025,08.00.00,4.9,1553,22.3,1295,419,1484,182,31.0,46.0
12/01/2025,09.00.00,4.2,1441,15.8,1053,387,1379,183,32.4,32.1
12/01/2025,10.00.00,3.2,1237,15.4,1051,277,1569,111,20.3,32.8
12/01/2025,11.00.00,3.3,1307,13.5,945,258,1588,122,20.0,20.3
12/01/2025,12.00.00,4.1,1423,16.6,1082,323,1505,160,28.9,38.1
12/01/2025,13.00.00,4.7,1464,20.7,1247,359,1507,167,24.5,64.9
12/01/2025,14.00.00,3.1,1313,11.3,926,272,1598,129,26.1,67.6
12/01/2025,15.00.00,4.7,1523,18.2,1112,368,1534,164,28.9,32.1
12/01/2025,16.00.00,4.0,1362,13.6,971,335,1536,157,31.7,77.5
12/01/2025,17.00.00,2.5,1155,12.0,-200,163,1695,82,15.1,-200.0
12/01/2025,18.00.00,2.1,1101,9.2,808,127,1699,77,16.3,75.0
12/01/2025,19.00.00,2.0,1084,10.2,876,190,1557,91,7.8,62.4
12/01/2025,20.00.00,4.5,1482,18.4,1200,379,1492,187,22.3,63.3
12/01/2025,21.00.00,2.2,1107,11.2,869,158,1625,89,6.1,25.1
12/01/2025,22.00.00,2.8,1253,9.7,848,293,1570,155,19.0,33.2
12/01/2025,23.00.00,4.1,1452,18.5,1154,290,1559,132,21.3,20.5
13/01/2025,00.00.00,3.5,1340,13.1,965,300,1551,152,13.6,63.0
13/01/2025,01.00.00,3.8,1375,15.3,1062,329,1503,139,22.7,40.7
13/01/2025,02.00.00,3.1,1294,13.9,994,251,1583,128,5.9,67.2
13/01/2025,03.00.00,2.5,1170,14.7,973,265,1600,125,6.1,40.3
13/01/2025,04.00.00,4.8,1500,20.9,1202,466,1391,-200,29.7,69.2
13/01/2025,05.00.00,2.7,1238,12.5,918,157,1650,90,15.8,27.8
13/01/2025,06.00.00,2.7,1214,9.7,824,102,1648,68,8.8,30.4
13/01/2025,07.00.00,3.7,1331,15.0,1023,270,1596,136,-200.0,40.5
13/01/2025,08.00.00,4.6,1473,18.1,1129,316,1496,150,28.1,44.5
13/01/2025,09.00.00,2.3,1124,12.0,885,163,1671,90,11.5,40.9
13/01/2025,10.00.00,3.9,-200,15.4,1008,406,1504,180,23.7,65.8
13/01/2025,11.00.00,1.8,1077,10.0,809,283,1625,127,7.6,25.8
13/01/2025,12.00.00,1.1,967,1.7,529,39,1756,37,6.6,41.1
13/01/2025,13.00.00,4.1,1436,19.2,1191,339,-200,134,20.9,70.2
13/01/2025,14.00.00,2.9,1194,9.8,836,240,1608,-200,21.2,24.0
13/01/2025,15.00.00,4.0,1428,17.6,1096,335,1457,163,24.1,76.5
13/01/2025,16.00.00,4.3,1433,15.7,1009,-200,1517,138,26.8,79.2
13/01/2025,17.00.00,5.1,1619,21.6,1236,469,1459,202,34.3,25.3
13/01/2025,18.00.00,3.4,1302,11.7,922,318,1592,127,20.5,37.5
13/01/2025,19.00.00,3.1,1297,14.5,1017,224,1536,-200,14.7,42.3
13/01/2025,20.00.00,4.6,1418,20.2,1201,431,1468,185,28.9,66.6
13/01/2025,21.00.00,3.2,1242,11.5,898,182,1665,80,13.1,55.8
13/01/2025,22.00.00,4.2,1419,17.9,1091,250,1568,129,18.2,58.7
13/01/2025,23.00.00,2.4,1092,11.3,880,201,1607,87,7.4,65.5
14/01/2025,00.00.00,2.1,1134,6.6,742,190,1606,94,5.8,27.1
14/01/2025,01.00.00,4.4,1475,15.7,1035,347,1446,176,33.9,70.0
14/01/2025,02.00.00,4.7,1479,16.8,1119,433,1411,187,30.1,62.3
14/01/2025,03.00.00,4.4,1463,15.3,1058,321,1571,138,25.9,54.6
14/01/2025,04.00.00,3.1,1294,10.4,854,311,1537,149,17.3,73.4
14/01/2025,05.00.00,2.8,1156,13.0,950,-200,1619,128,10.2,62.0
14/01/2025,06.00.00,2.3,1110,10.4,909,279,1497,115,9.7,-200.0
14/01/2025,07.00.00,3.1,1253,9.0,830,158,1691,84,12.5,45.8
14/01/2025,08.00.00,4.1,1416,15.4,1040,304,1588,153,21.5,49.6
14/01/2025,09.00.00,4.6,1487,16.1,1066,322,1438,163,26.4,23.3
14/01/2025,10.00.00,4.0,-200,17.9,1129,362,1489,162,24.8,77.3
14/01/2025,11.00.00,2.3,1162,8.4,793,264,-200,131,13.4,27.7
14/01/2025,12.00.00,4.6,1505,15.1,1009,346,1575,164,33.6,61.8
14/01/2025,13.00.00,4.5,1435,18.4,1135,391,1432,186,27.1,50.4
14/01/2025,14.00.00,4.9,1537,20.8,1198,463,1485,204,21.6,21.5
14/01/2025,15.00.00,3.7,1341,12.8,961,-200,1570,157,23.4,75.5
14/01/2025,16.00.00,3.5,1367,13.4,967,314,1509,138,17.6,71.1
14/01/2025,17.00.00,2.5,1175,8.1,797,98,1761,67,12.4,51.5
14/01/2025,18.00.00,2.6,1167,12.8,923,285,1664,124,15.7,33.7
14/01/2025,19.00.00,3.9,-200,14.9,1049,300,1547,122,27.7,27.3
